event_id,vehicle_id,timestamp,odometer_value,engine_status,speed
1,13,2024-03-09 08:00:00,32878.55,True,87.2
2,13,2024-03-09 08:00:30,32878.71,True,18.8
3,13,2024-03-09 08:01:00,32879.38,True,80.6
4,13,2024-03-09 08:01:30,32879.45,True,7.6
5,13,2024-03-09 08:02:00,32879.46,True,1.4
6,13,2024-03-09 08:02:30,32879.61,True,18.6
7,13,2024-03-09 08:03:00,32879.61,False,0.0
8,13,2024-03-09 08:03:30,32880.28,True,79.8
9,13,2024-03-09 08:04:00,32880.28,False,0.0
10,13,2024-03-09 08:04:30,32880.54,True,31.9
11,13,2024-03-09 08:05:00,32880.54,False,0.0
12,13,2024-03-09 08:05:30,32881.26,True,86.2
13,13,2024-03-09 08:06:00,32881.6,True,40.1
14,13,2024-03-09 08:06:30,32881.96,True,43.3
15,13,2024-03-09 08:07:00,32882.2,True,29.6
16,13,2024-03-09 08:07:30,32882.23,True,2.9
17,13,2024-03-09 08:08:00,32882.69,True,55.1
18,13,2024-03-09 08:08:30,32882.97,True,33.9
19,13,2024-03-09 08:09:00,32883.11,True,17.1
20,13,2024-03-09 08:09:30,32883.7,True,70.5
21,13,2024-03-09 08:10:00,32884.19,True,58.4
22,13,2024-03-09 08:10:30,32884.19,False,0.0
23,13,2024-03-09 08:11:00,32884.98,True,95.2
24,13,2024-03-09 08:11:30,32885.47,True,58.9
25,13,2024-03-09 08:12:00,32885.91,True,52.6
26,13,2024-03-09 08:12:30,32886.36,True,53.7
27,13,2024-03-09 08:13:00,32886.36,False,0.0
28,13,2024-03-09 08:13:30,32886.36,False,0.0
29,13,2024-03-09 08:14:00,32887.18,True,99.0
30,13,2024-03-09 08:14:30,32887.21,True,3.6
31,13,2024-03-09 08:15:00,32887.41,True,24.3
32,13,2024-03-09 08:15:30,32888.11,True,84.0
33,13,2024-03-09 08:16:00,32888.63,True,61.7
34,13,2024-03-09 08:16:30,32889.38,True,90.5
35,13,2024-03-09 08:17:00,32889.99,True,73.4
36,13,2024-03-09 08:17:30,32889.99,False,0.0
37,13,2024-03-09 08:18:00,32890.13,True,15.9
38,13,2024-03-09 08:18:30,32890.85,True,86.7
39,13,2024-03-09 08:19:00,32890.85,False,0.0
40,13,2024-03-09 08:19:30,32891.67,True,98.0
41,13,2024-03-09 08:20:00,32892.03,True,44.3
42,13,2024-03-09 08:20:30,32892.03,False,0.0
43,13,2024-03-09 08:21:00,32892.36,True,38.9
44,13,2024-03-09 08:21:30,32892.81,True,54.2
45,13,2024-03-09 08:22:00,32893.09,True,33.8
46,13,2024-03-09 08:22:30,32893.53,True,52.9
